Mapillary_ID,Latitude,Longitude,country_code,country_name,continent,geocoded_city
vXSkE9gqQzYmsgwa7mW1eA,38.926053917507,-77.035437865291,US,United States,North America,"Washington, D.C."
sRcMHZJhBQjAfVQdHoiFcw,33.9025003,-84.4879839,US,United States,North America,Smyrna
HvCnu3uDr8gpI6QveXukcw,60.1644789,24.9150645,FI,Finland,Europe,Helsinki
uWgXpne6CkvGP6mBoHvc2g,33.515677777778,-86.804580555556,US,United States,North America,Birmingham
eIQCwwpMqzxA_OQCTO4Wcg,55.730084558223,12.358017132633,DK,Denmark,Europe,Ballerup
z-IgPLKhCNhBRBxLd9JVug,47.41303177,8.53801191,CH,Switzerland,Europe,Zuerich (Kreis 11) / Oerlikon
I1yzG-DpP4TB7HRdyZ468Q,38.72447,-9.1494566666667,PT,Portugal,Europe,Lisbon
bVhx_RJdmLwruspTN-7Vjg,22.290524,114.212849,HK,Hong Kong,Asia,Kowloon
qqlyX70Ii8pPWMkOb83fVA,35.305578,136.911737,JP,Japan,Asia,Komaki
3QQrUUWoNcLmMhP76AT-TA,51.44658579,7.03383306,DE,Germany,Europe,Essen
LGwcadvIVvti9wSvtqOcbg,48.82531271,2.21585121,FR,France,Europe,Sevres
WshWWXHHUgPubBAQGxHD3Q,36.050758,140.171412,JP,Japan,Asia,Naka
9cIXUOaQ6qJ1PBqsb-3eVA,52.50639033,13.2831657,DE,Germany,Europe,Charlottenburg Bezirk
P_eChlILG6tD_q2h23V12w,50.10940936,14.49648266,CZ,Czechia,Europe,Prosek
4QnX1QLSCUjjKHVN2m80dw,50.855105,4.69567,BE,Belgium,Europe,Leuven
aJyj7DxbP3UCord-NUpnGw,56.094647,12.763818,SE,Sweden,Europe,Odakra
s1tfmktqvPGICdUyFirqxQ,39.36713,-76.648479,US,United States,North America,Towson
ufYiHqZMK-BIvLcn9PVNlA,52.396141,4.904554,NL,Netherlands,Europe,Amsterdam
wLKLSrR2h2GRc09iFXmtQA,35.176665,138.736654,JP,Japan,Asia,Fuji
4LoKYdyYvZfdr45ZWctchg,39.304399,-76.563394,US,United States,North America,Rosedale
8xztwKREmqWpRzhJzhw_2Q,-34.90603699,-56.19177835,UY,Uruguay,South America,Montevideo
